Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Must be present (DOC),Data source (SYS),Check existence (SYS),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Child (SYS),Label (CZ),Label (EN)
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventType,FALSE,SIP profile XSLT,FALSE,1,arc_event_type,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:agentName,FALSE,SIP profile XSLT,FALSE,1,arc_event_agent_name,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:scannerModelSerialNo,FALSE,SIP profile XSLT,FALSE,1,arc_event_scanner_model_serial_no,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventDate,FALSE,SIP profile XSLT,FALSE,1,arc_event_date,datetime,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:fileCount,FALSE,SIP profile XSLT,FALSE,1,arc_event_file_count,other,arc_event,,
Rights,/METS:mets/METS:amdSec/METS:rightsMD,FALSE,SIP profile XSLT,FALSE,1,,,,,
Other bibliographic metadata,/METS:mets/METS:amdSec/METS:sourceMD,FALSE,SIP profile XSLT,FALSE,1,,,,,
AIP structure,/METS:mets/METS:fileSec,TRUE,system; fixity generator,TRUE,1,,,,,
AIP structure,/METS:mets/METS:structMap,TRUE,system,TRUE,1,,,,,
NOT_IN_XML,NOT_IN_XML,TRUE,system,FALSE,1,producer_name,other,,Jméno dodavatele,
NOT_IN_XML,NOT_IN_XML,TRUE,system,FALSE,1,user_name,other,,Jméno zodpovědné osoby,
NOT_IN_XML,NOT_IN_XML,TRUE,system,FALSE,1,aip_state,other,,Stav AIP,
NOT_IN_XML,NOT_IN_XML,TRUE,system,FALSE,1,latest,other,,Poslední verze,
